centreline_id,direction,location,class_type,daily_temperature,daily_precipitation,datetime_bin_start,datetime_bin_end,volume
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 22:00:00,2018-10-08 23:00:00,10
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 21:00:00,2018-10-08 22:00:00,17
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 20:00:00,2018-10-08 21:00:00,21
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 19:00:00,2018-10-08 20:00:00,16
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 18:00:00,2018-10-08 19:00:00,24
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 17:00:00,2018-10-08 18:00:00,25
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 16:00:00,2018-10-08 17:00:00,26
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 15:00:00,2018-10-08 16:00:00,28
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 14:00:00,2018-10-08 15:00:00,22
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 13:00:00,2018-10-08 14:00:00,21
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 12:00:00,2018-10-08 13:00:00,12
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 11:00:00,2018-10-08 12:00:00,14
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 10:00:00,2018-10-08 11:00:00,21
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 09:00:00,2018-10-08 10:00:00,16
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 08:00:00,2018-10-08 09:00:00,10
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 07:00:00,2018-10-08 08:00:00,9
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 06:00:00,2018-10-08 07:00:00,4
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 05:00:00,2018-10-08 06:00:00,1
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 04:00:00,2018-10-08 05:00:00,1
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 03:00:00,2018-10-08 04:00:00,5
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 02:00:00,2018-10-08 03:00:00,0
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 01:00:00,2018-10-08 02:00:00,3
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 00:00:00,2018-10-08 01:00:00,4
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,5,2018-10-07 23:00:00,2018-10-08 00:00:00,8
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,5,2018-10-07 22:00:00,2018-10-07 23:00:00,13
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,5,2018-10-07 21:00:00,2018-10-07 22:00:00,9
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,5,2018-10-07 20:00:00,2018-10-07 21:00:00,16
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,5,2018-10-07 19:00:00,2018-10-07 20:00:00,11
